"","work","dimension","population_size","max_gens","PKG","seconds","generations","diff_fitness","evaluations","initial_temp_1","initial_temp_2","initial_temp","color","base","shape","size","cum_seconds","run","power"
"1","base-europar-test",10,400,10,344.43,7.07618992,NA,0,NA,28.5,27.1,27.8,"blue",TRUE,21,3,7.07618992,"B",48.6744991151962
"2","europar-test",10,400,10,457.14,9.30730194,16,5.640785,59898,46.2,36.1,41.15,"red",FALSE,21,4,16.38349186,"W",49.1162748288362
"3","base-europar-test",10,400,10,325.27,6.8801965,NA,0,NA,33.8,31,32.4,"blue",TRUE,21,3,23.26368836,"B",47.2762660194371
"4","europar-test",10,400,10,429.01,9.27405357,14,8.170235,52499,34.8,30.9,32.85,"red",FALSE,21,4,32.53774193,"W",46.2591677697199
"5","base-europar-test",10,400,10,334.17,6.9305174,NA,0,NA,39.4,34.9,37.15,"blue",TRUE,21,3,39.46825933,"B",48.2171792830359
"6","europar-test",10,400,10,496.95,9.59183104,29,4.232311,107933,33.5,31.1,32.3,"red",FALSE,21,4,49.06009037,"W",51.8097116105998
"7","base-europar-test",10,400,10,404.28,7.17923747,NA,0,NA,47.1,43.2,45.15,"blue",TRUE,21,3,56.23932784,"B",56.3123871705556
"8","europar-test",10,400,10,525.74,9.6067525,31,5.615272,115156,39.6,34.1,36.85,"red",FALSE,21,4,65.84608034,"W",54.7260897998569
"9","base-europar-test",10,400,10,383.19,7.05657477,NA,0,NA,37.1,31.8,34.45,"blue",TRUE,21,3,72.90265511,"B",54.3025493939463
"10","europar-test",10,400,10,504.01,9.49539931,34,4.616693,126107,34.8,32.5,33.65,"red",FALSE,21,4,82.39805442,"W",53.0793896649724
"11","base-europar-test",10,400,10,413.66,7.2478412,NA,0,NA,38.9,35.6,37.25,"blue",TRUE,21,3,89.64589562,"B",57.0735462581603
"12","europar-test",10,400,10,519.41,9.65158044,18,4.951689,67250,40.4,37.5,38.95,"red",FALSE,21,4,99.29747606,"W",53.8160566788997
"13","base-europar-test",10,400,10,386.69,7.18048511,NA,0,NA,36.4,33.9,35.15,"blue",TRUE,21,3,106.47796117,"B",53.8529074395643
"14","europar-test",10,400,10,560.13,9.85434794,24,7.324121,89282,37.9,34.4,36.15,"red",FALSE,21,4,116.33230911,"W",56.8408994091191
"15","base-europar-test",10,400,10,351.45,7.01343059,NA,0,NA,35.2,32.2,33.7,"blue",TRUE,21,3,123.3457397,"B",50.1109971061965
"16","europar-test",10,400,10,542.85,9.80221337,21,3.699713,78209,39.9,34.4,37.15,"red",FALSE,21,4,133.14795307,"W",55.3803492649334
"17","base-europar-test",10,400,10,436.08,7.35876364,NA,0,NA,46.6,40.1,43.35,"blue",TRUE,21,3,140.50671671,"B",59.2599547061957
"18","europar-test",10,400,10,546.12,9.62268575,19,5.503317,70832,34.9,32,33.45,"red",FALSE,21,4,150.12940246,"W",56.7533861323488
"19","base-europar-test",10,400,10,321.75,6.87497846,NA,0,NA,35.4,33,34.2,"blue",TRUE,21,3,157.00438092,"B",46.8001466291139
"20","europar-test",10,400,10,414.63,9.29518784,25,5.870644,93161,34.2,32,33.1,"red",FALSE,21,4,166.29956876,"W",44.6069522356204
"21","base-europar-test",10,400,10,320.04,6.90746486,NA,0,NA,36.9,33.5,35.2,"blue",TRUE,21,3,173.20703362,"B",46.3324832607256
"22","europar-test",10,400,10,430.22,9.24279246,18,7.204348,67086,40.2,33.8,37,"red",FALSE,21,4,182.44982608,"W",46.5465390315602
"23","base-europar-test",10,400,10,340.16,6.99648476,NA,0,NA,35.4,32.2,33.8,"blue",TRUE,21,3,189.44631084,"B",48.6187009146004
"24","europar-test",10,400,10,435.09,9.35721415,18,4.76747,67125,41.5,37,39.25,"red",FALSE,21,4,198.80352499,"W",46.4978136681846
"25","base-europar-test",10,400,10,310.15,6.90491036,NA,0,NA,33.5,32,32.75,"blue",TRUE,21,3,205.70843535,"B",44.9173101213149
"26","europar-test",10,400,10,416.99,9.28441707,32,5.761762,118704,33.8,30.4,32.1,"red",FALSE,21,4,214.99285242,"W",44.9128897222193
"27","base-europar-test",10,400,10,312.26,6.84584079,NA,0,NA,37.6,34.9,36.25,"blue",TRUE,21,3,221.83869321,"B",45.6130969998793
"28","europar-test",10,400,10,426.97,9.22248157,33,4.757653,122750,33.5,31.1,32.3,"red",FALSE,21,4,231.06117478,"W",46.2966498506107
"29","base-europar-test",10,400,10,306.39,6.88898278,NA,0,NA,33.5,31.6,32.55,"blue",TRUE,21,3,237.95015756,"B",44.475361571451
"30","europar-test",10,400,10,415.83,9.33849045,25,5.584499,92895,38.1,33.2,35.65,"red",FALSE,21,4,247.28864801,"W",44.528610081729
"31","base-europar-test",10,400,10,307.83,6.88058371,NA,0,NA,34.5,31.6,33.05,"blue",TRUE,21,3,254.16923172,"B",44.7389368365086
"32","europar-test",10,400,10,419.81,9.24840849,16,4.761626,59705,40.2,36.4,38.3,"red",FALSE,21,4,263.41764021,"W",45.3926749076803
"33","base-europar-test",10,400,10,311.37,6.88209249,NA,0,NA,41.2,33.2,37.2,"blue",TRUE,21,3,270.2997327,"B",45.2435070369128
"34","europar-test",10,400,10,418.63,9.2300057,17,8.082225,63595,33.5,31.6,32.55,"red",FALSE,21,4,279.5297384,"W",45.3553349376588
"35","base-europar-test",10,400,10,345.78,6.9570105,NA,0,NA,34.2,32,33.1,"blue",TRUE,21,3,286.4867489,"B",49.7023829416385
"36","europar-test",10,400,10,434.62,9.32152184,34,6.93237999999999,126414,36.1,32.5,34.3,"red",FALSE,21,4,295.80827074,"W",46.6254338572681
"37","base-europar-test",10,400,10,317.88,6.8854681,NA,0,NA,35.9,33.9,34.9,"blue",TRUE,21,3,302.69373884,"B",46.1667958348395
"38","europar-test",10,400,10,423.42,9.2272632,15,6.380668,56272,35.2,32.2,33.7,"red",FALSE,21,4,311.92100204,"W",45.887929153251
"39","base-europar-test",10,400,10,311.34,6.91366232,NA,0,NA,38.9,35.1,37,"blue",TRUE,21,3,318.83466436,"B",45.032572548322
"40","europar-test",10,400,10,435.3,9.30845881,24,5.346659,89218,35.9,32.8,34.35,"red",FALSE,21,4,328.14312317,"W",46.7639175168677
"41","base-europar-test",10,400,10,344.94,6.97611453,NA,0,NA,37.1,39,38.05,"blue",TRUE,21,3,335.1192377,"B",49.4458625237049
"42","europar-test",10,400,10,461.04,9.35855716,13,9.78364,48977,34.2,31.5,32.85,"red",FALSE,21,4,344.47779486,"W",49.2640042816173
"43","base-europar-test",10,400,10,359.85,6.98200101,NA,0,NA,36.9,33.9,35.4,"blue",TRUE,21,3,351.45979587,"B",51.5396659903949
"44","europar-test",10,400,10,506.78,9.53163328,26,8.214315,96723,36.4,33.9,35.15,"red",FALSE,21,4,360.99142915,"W",53.1682226028738
"45","base-europar-test",10,400,10,334.4,6.95527494,NA,0,NA,34.5,32,33.25,"blue",TRUE,21,3,367.94670409,"B",48.0786170043193
"46","europar-test",10,400,10,429.95,9.27410124,24,7.362731,89486,38.1,35.6,36.85,"red",FALSE,21,4,377.22080533,"W",46.3602875225891
"47","base-europar-test",10,400,10,317.3,6.85843102,NA,0,NA,35,32,33.5,"blue",TRUE,21,3,384.07923635,"B",46.264225604182
"48","europar-test",10,400,10,495.93,9.50957683,27,4.951416,100457,34.2,31,32.6,"red",FALSE,21,4,393.58881318,"W",52.15058554819
"49","base-europar-test",10,400,10,336.32,6.91616195,NA,0,NA,34,31.6,32.8,"blue",TRUE,21,3,400.50497513,"B",48.628126760392
"50","europar-test",10,400,10,422.44,9.28350791,18,8.9795,67324,37.9,35.4,36.65,"red",FALSE,21,4,409.78848304,"W",45.5043507363156
"51","base-europar-test",10,400,10,311.1,6.82943145,NA,0,NA,36.6,33,34.8,"blue",TRUE,21,3,416.61791449,"B",45.5528402734023
"52","europar-test",10,400,10,418.14,9.20619872,16,6.865232,59687,32.5,32,32.25,"red",FALSE,21,4,425.82411321,"W",45.4193975947545
"53","base-europar-test",10,400,10,312.27,6.85638334,NA,0,NA,32.8,31,31.9,"blue",TRUE,21,3,432.68049655,"B",45.5444196327564
"54","europar-test",10,400,10,409.51,9.23844456,15,7.482246,56229,33.8,31.5,32.65,"red",FALSE,21,4,441.91894111,"W",44.3267259266857
"55","base-europar-test",10,400,10,306.08,6.88035216,NA,0,NA,33,30.1,31.55,"blue",TRUE,21,3,448.79929327,"B",44.4860950256941
"56","europar-test",10,400,10,410.8,9.26773486,29,7.123138,107730,34,31,32.5,"red",FALSE,21,4,458.06702813,"W",44.325825695881
"57","base-europar-test",10,400,10,316.04,6.86352875,NA,0,NA,33,31,32,"blue",TRUE,21,3,464.93055688,"B",46.0462848647644
"58","europar-test",10,400,10,417.73,9.2056025,16,7.708109,59814,34,32.5,33.25,"red",FALSE,21,4,474.13615938,"W",45.3778011814001
"59","base-europar-test",10,400,10,318.36,6.87658319,NA,0,NA,36.6,33.2,34.9,"blue",TRUE,21,3,481.01274257,"B",46.296247889935
"60","europar-test",10,400,10,414.88,9.30275228,18,4.606321,67463,37.4,34.6,36,"red",FALSE,21,4,490.31549485,"W",44.5975543057242
"61","base-europar-test",10,400,10,315.55,6.90747638,NA,0,NA,40.6,35.1,37.85,"blue",TRUE,21,3,497.22297123,"B",45.682385670351
"62","base-europar-test",10,400,25,306.45,6.89660302,NA,0,NA,33.5,30.5,32,"blue",TRUE,21,3,504.11957425,"B",44.4349194975123
"63","europar-test",10,400,25,415.61,9.30193607,37,2.655352,137212,34,31.8,32.9,"red",FALSE,21,4,513.42151032,"W",44.679945859916
"64","base-europar-test",10,400,25,303.75,6.82553079,NA,0,NA,40.1,31,35.55,"blue",TRUE,21,3,520.24704111,"B",44.5020335187734
